weight_lightgbm,weight_xgboost,weight_random_forest,rmse,mae,r2,exact_match_hits_rounded,exact_match_rate_rounded,bucket_accuracy_0_1_2_3plus,n_samples
0.5,0.4,0.1,0.9146494803033008,0.6314663578727135,0.27128797655616277,4736,0.5391621129326047,0.5471311475409836,8784
0.5,0.45,0.05,0.9159119366973092,0.6317238473401061,0.2692749604854128,4751,0.5408697632058288,0.5488387978142076,8784
0.5,0.5,0.0,0.9173710401626648,0.6320864430254354,0.26694492708785167,4732,0.5387067395264117,0.5469034608378871,8784
0.55,0.0,0.45,0.9119541157845166,0.6333956821641248,0.2755765057098821,4703,0.5354052823315119,0.5432604735883424,8784
0.55,0.05,0.4,0.9117742473597769,0.6327427378307872,0.2758622395217427,4716,0.5368852459016393,0.5445127504553734,8784
0.55,0.1,0.35,0.9117939419516078,0.6322049146766353,0.2758309560067923,4707,0.5358606557377049,0.5436020036429873,8784
0.55,0.15,0.3,0.9120131866315381,0.6317546477197103,0.2754826551650308,4713,0.5365437158469946,0.5441712204007286,8784
0.55,0.2,0.25,0.912431837552247,0.6314457668973574,0.27481733699645805,4719,0.5372267759562842,0.5449681238615665,8784
0.55,0.25,0.2,0.9130496204189142,0.6312502947176575,0.2738350015010744,4734,0.5389344262295082,0.5469034608378871,8784
0.55,0.3,0.15,0.9138661313859232,0.6311972787616195,0.2725356486788796,4749,0.5406420765027322,0.5486111111111112,8784
0.55,0.35,0.1,0.9148808383720909,0.6312897025544781,0.27091927852987363,4750,0.5407559198542805,0.5487249544626593,8784
0.55,0.4,0.05,0.916093082784475,0.6315211855848811,0.26898589105405646,4757,0.5415528233151184,0.5496357012750456,8784
0.55,0.45,0.0,0.9175020816378032,0.6318619050258157,0.2667354862514283,4750,0.5407559198542805,0.5489526411657559,8784
0.6,0.0,0.4,0.9124289022390356,0.6328041984078302,0.2748220028459819,4708,0.5359744990892532,0.5436020036429873,8784
0.6,0.05,0.35,0.9123984875107595,0.6322243762260442,0.27487034792596454,4715,0.536771402550091,0.5443989071038251,8784
