source_year,station_id,station_name,주소,latitude,longitude,total_return_count,return_7_10_count,return_11_14_count,return_17_20_count,arrival_7_10_ratio,arrival_11_14_ratio,arrival_17_20_ratio,dominant_window,district_hypothesis
2025,3611, 방죽마을 입구,율현동 264-5,37.47123337,127.10721588,3179,686,631,846,0.21579112928593897,0.19849009122365524,0.26612142183076437,return_17_20_count,주거지구 후보
2025,3612, 은곡마을,세곡동 548(도담공원~행복공원 사이),37.46726227,127.09801483,4654,918,1029,1349,0.19724967769660506,0.22110012892135797,0.2898581865062312,return_17_20_count,주거지구 후보
2025,3614, 은마아파트 입구 사거리,삼성로237(정성한줄 대치점 앞),37.49840164,127.06093597,10501,1891,2388,3277,0.1800780878011618,0.22740691362727358,0.31206551756975526,return_17_20_count,주거지구 후보
2025,3615, 서울 논현동우체국 앞,학동로212,37.51446152,127.0326004,2583,180,436,1116,0.06968641114982578,0.16879597367402246,0.43205574912891986,return_17_20_count,주거지구 후보
2025,3616, 역삼중학교 앞(체육관 방향),도곡로43길 10,37.49526215,127.04950714,2582,284,320,817,0.10999225406661503,0.12393493415956623,0.3164213787761425,return_17_20_count,주거지구 후보
2025,3618, 서울율현초교 삼거리,밤고개로 231,37.47364044,127.10702515,6489,904,1122,2168,0.1393126830020034,0.17290799815071659,0.3341038680844506,return_17_20_count,주거지구 후보
2025,3620, 청담역 11번 출구,학동로87길 7,37.51925659,127.0515976,576,22,89,313,0.03819444444444445,0.1545138888888889,0.5434027777777778,return_17_20_count,주거지구 후보
2025,3622, 은마아파트입구 사거리(1),삼성로 312,37.49986649,127.0605011,2522,246,359,878,0.09754163362410785,0.1423473433782712,0.3481363996827914,return_17_20_count,주거지구 후보
2025,3623, 일원에코파크 앞(개포로 방면),개포로 670,37.49587631,127.08650208,2993,602,493,1004,0.20113598396257934,0.16471767457400602,0.3354493818910792,return_17_20_count,주거지구 후보
2025,3624, 대모산입구역 7번 출구 앞,개포로 522(사진참고),37.49017715,127.07305908,2133,164,311,809,0.07688701359587435,0.14580403187998126,0.3792780121894046,return_17_20_count,주거지구 후보
2025,3627, 압구정나들목,압구정동 507,37.53075027,127.04160309,9108,796,1214,3394,0.08739569609134827,0.13328941589811155,0.3726394378568292,return_17_20_count,주거지구 후보
